AGT_CD,N_POLICIES_LA,N_POLICIES_LAT,N_POLICIES_POLA,TOTAL_ANP_LA,TOTAL_ANP_LAT,TOTAL_ANP_POLA,TOTAL_POLICIES,TOTAL_ANP,TICKET_SIZE,COUNT_RATIO_LA,COUNT_RATIO_LAT,COUNT_RATIO_POLA,ANP_RATIO_LA,ANP_RATIO_LAT,ANP_RATIO_POLA,COUNT_SBASE_TYPE,N_LINE_ITEM_B,N_LINE_ITEM_R,TOTAL_ANP_B,TOTAL_ANP_R,R_B_COUNT_RATIO,R_B_ANP_RATIO,N_LINE_ITEM_Cat 1,N_LINE_ITEM_Cat 2,N_LINE_ITEM_Cat 3,TOTAL_ANP_Cat 1,TOTAL_ANP_Cat 2,TOTAL_ANP_Cat 3,COUNT_RATIO_CAT1,COUNT_RATIO_CAT2,COUNT_RATIO_CAT3,ANP_RATIO_CAT1,ANP_RATIO_CAT2,ANP_RATIO_CAT3,COUNT_PRODCAT_TYPE,N_VIT_POLICIES,N_LINE_ITEM_Accident,N_LINE_ITEM_Critical Illness,N_LINE_ITEM_Disability,N_LINE_ITEM_Endowment,N_LINE_ITEM_Income,N_LINE_ITEM_Life,N_LINE_ITEM_Medical,N_LINE_ITEM_N/A,N_LINE_ITEM_Other Medical,N_LINE_ITEM_Payor/Waiver,N_LINE_ITEM_Savers,TOTAL_ANP_Accident,TOTAL_ANP_Critical Illness,TOTAL_ANP_Disability,TOTAL_ANP_Endowment,TOTAL_ANP_Income,TOTAL_ANP_Life,TOTAL_ANP_Medical,TOTAL_ANP_N/A,TOTAL_ANP_Other Medical,TOTAL_ANP_Payor/Waiver,TOTAL_ANP_Savers,COUNT_MAINNEED_TYPE,CLUSTER
4776,55.0,0.0,3.0,4953.14013671875,0.0,233.1999969482422,58.0,5186.340133666992,89.41965747701711,0.9482758620689656,0.0,0.0517241379310344,0.955035730218612,0.0,0.0449642697813879,2,28.0,30.0,4332.47998046875,853.8599853515625,1.0714285714285714,0.1970834231666039,0.0,49.0,9.0,0.0,4677.14013671875,509.1999816894531,0.0,0.8448275862068966,0.1551724137931034,0.0,0.9018190149384692,0.0981809850615307,2,0.0,5.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,7.0,1.0,1.0,233.1999969482422,0.0,0.0,0.0,0.0,276.0,4677.14013671875,0.0,0.0,0.0,0.0,7,1
3833,0.0,120.0,0.0,0.0,4718.919921875,0.0,120.0,4718.919921875,39.32433268229167,0.0,1.0,0.0,0.0,1.0,0.0,1,22.0,98.0,2965.239990234375,1753.679931640625,4.454545454545454,0.591412478388305,1.0,26.0,93.0,184.4499969482422,0.0,4534.4697265625,0.0083333333333333,0.2166666666666666,0.775,0.0390873351859049,0.0,0.9609126648140952,3,1.0,0.0,11.0,17.0,0.0,3.0,28.0,14.0,20.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,2270.869873046875,417.16998291015625,1116.0,0.0,35.279998779296875,879.5999755859375,7,2
3040,2.0,0.0,0.0,389.5199890136719,0.0,0.0,2.0,389.5199890136719,194.75999450683597,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,389.5199890136719,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,389.5199890136719,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.5199890136719,0.0,0.0,0.0,0.0,0.0,2,3
1334,54.0,0.0,0.0,1992.0,0.0,0.0,54.0,1992.0,36.888888888888886,1.0,0.0,0.0,1.0,0.0,0.0,1,8.0,46.0,1140.0,852.0,5.75,0.7473684210526316,0.0,6.0,48.0,0.0,0.0,1992.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,1.0,2,0.0,0.0,0.0,8.0,0.0,6.0,8.0,6.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,0.0,852.0,6,0
1388,0.0,4.0,0.0,0.0,318.5400085449219,0.0,4.0,318.5400085449219,79.63500213623047,0.0,1.0,0.0,0.0,1.0,0.0,1,1.0,3.0,234.5,84.04000091552734,3.0,0.3583795348210121,1.0,0.0,3.0,234.5,0.0,84.04000091552734,0.25,0.0,0.75,0.7361712793558581,0.0,0.2638287206441418,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,234.5,0.0,0.0,0.0,24.040000915527344,60.0,4,0
2829,0.0,25.0,0.0,0.0,1261.5599365234375,0.0,25.0,1261.5599365234375,50.4623974609375,0.0,1.0,0.0,0.0,1.0,0.0,1,7.0,18.0,798.3599853515625,463.2000122070313,2.571428571428572,0.5801894141814465,0.0,0.0,25.0,0.0,0.0,1261.5599365234375,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34000015258789,352.0199890136719,855.2000122070312,0.0,0.0,0.0,3,0
3384,193.0,0.0,34.0,13003.1201171875,0.0,2376.52001953125,227.0,15379.64013671875,67.75171866395925,0.8502202643171806,0.0,0.1497797356828193,0.8454762271155272,0.0,0.1545237728844727,2,73.0,154.0,10506.990234375,4872.64990234375,2.1095890410958904,0.4637531580073459,1.0,46.0,180.0,750.0,1379.9200439453125,13249.7197265625,0.0044052863436123,0.2026431718061674,0.7929515418502202,0.0487657715779669,0.0897238208785269,0.861510407543506,3,22.0,34.0,18.0,26.0,0.0,8.0,27.0,46.0,0.0,0.0,15.0,53.0,2376.52001953125,0.0,0.0,0.0,0.0,7020.0,1379.9200439453125,0.0,0.0,0.0,4603.2001953125,8,2
1389,43.0,0.0,0.0,1896.530029296875,0.0,0.0,43.0,1896.530029296875,44.10534951853197,1.0,0.0,0.0,1.0,0.0,0.0,1,13.0,30.0,1376.0400390625,520.489990234375,2.3076923076923075,0.3782520678606026,0.0,12.0,31.0,0.0,1012.0499877929688,884.47998046875,0.0,0.2790697674418604,0.7209302325581395,0.0,0.5336324786476072,0.4663675213523928,2,0.0,4.0,4.0,7.0,0.0,3.0,6.0,12.0,0.0,0.0,3.0,4.0,96.9000015258789,159.61000061035156,21.529998779296875,0.0,54.81999969482422,548.8699951171875,873.2000122070312,0.0,0.0,0.0,141.60000610351562,8,1
1985,174.0,13.0,0.0,35229.28125,516.0,0.0,187.0,35745.28125,191.15123663101605,0.93048128342246,0.0695187165775401,0.0,0.9855645281851012,0.0144354718148986,0.0,2,39.0,148.0,24880.060546875,10865.2197265625,3.7948717948717943,0.4367039101891253,12.0,31.0,144.0,12739.0,5707.68994140625,17298.58984375,0.0641711229946524,0.1657754010695187,0.7700534759358288,0.3563827189650381,0.1596767454531563,0.4839405355818055,3,3.0,2.0,18.0,32.0,7.0,1.0,32.0,18.0,0.0,4.0,28.0,45.0,0.0,5330.580078125,1.4000000953674316,5705.5498046875,0.0,17350.740234375,377.1099853515625,0.0,0.0,68.62999725341797,6911.27001953125,10,1
1353,228.0,11.0,5.0,20383.330078125,3160.820068359375,186.0,244.0,23730.15014648437,97.2547137150999,0.9344262295081968,0.0450819672131147,0.0204918032786885,0.8589633842306216,0.1331984858438686,0.0078381299255098,3,45.0,199.0,16571.05078125,7159.10009765625,4.422222222222223,0.4320245102233776,7.0,51.0,186.0,8998.400390625,2037.81005859375,12693.9404296875,0.0286885245901639,0.2090163934426229,0.7622950819672131,0.3791969312181527,0.0858742984396766,0.5349287703421707,3,11.0,5.0,39.0,31.0,1.0,0.0,30.0,39.0,6.0,2.0,41.0,50.0,186.0,753.5,0.0,637.7999877929688,0.0,14240.599609375,1517.3299560546875,1276.800048828125,0.0,414.7200012207031,4703.39990234375,9,1
